,Year,Month,HHS region,RSV Detections,RSV Tests,% positive tests
4661,2020,1,1,3,24,12.5
4662,2020,1,1,2,53,3.7735849056603774
4663,2020,1,1,3,86,3.488372093023256
4664,2020,1,1,4,79,5.063291139240507
4665,2020,2,1,3,89,3.3707865168539324
4666,2020,2,1,4,95,4.2105263157894735
4667,2020,2,1,7,111,6.306306306306307
4668,2020,2,1,2,56,3.5714285714285716
4669,2020,2,1,0,35,0.0
4670,2020,3,1,2,30,6.666666666666667
4671,2020,3,1,1,13,7.6923076923076925
4672,2020,3,1,0,0,
4673,2020,3,1,0,0,
4674,2020,4,1,0,0,
4675,2020,4,1,0,0,
4676,2020,4,1,0,0,
4677,2020,4,1,0,0,
4678,2020,5,1,0,0,
4679,2020,5,1,0,0,
4680,2020,5,1,0,0,
4681,2020,5,1,0,0,
4682,2020,5,1,0,0,
4683,2020,6,1,0,0,
4684,2020,6,1,0,0,
4685,2020,6,1,0,0,
4686,2020,6,1,0,0,
4713,2020,1,10,91,799,11.389236545682103
4714,2020,1,10,46,477,9.643605870020965
4715,2020,1,10,39,421,9.263657957244655
4716,2020,1,10,47,410,11.463414634146341
4717,2020,2,10,39,446,8.74439461883408
4718,2020,2,10,38,334,11.377245508982035
4719,2020,2,10,24,285,8.421052631578947
4720,2020,2,10,27,286,9.44055944055944
4721,2020,2,10,39,333,11.711711711711711
4722,2020,3,10,30,389,7.712082262210797
4723,2020,3,10,27,592,4.5608108108108105
4724,2020,3,10,15,502,2.9880478087649402
4725,2020,3,10,13,383,3.3942558746736293
4726,2020,4,10,1,220,0.45454545454545453
4727,2020,4,10,1,140,0.7142857142857143
4728,2020,4,10,0,89,0.0
4729,2020,4,10,0,101,0.0
4730,2020,5,10,0,69,0.0
4731,2020,5,10,0,75,0.0
4732,2020,5,10,0,88,0.0
4733,2020,5,10,0,73,0.0
4734,2020,5,10,0,54,0.0
4735,2020,6,10,0,49,0.0
4736,2020,6,10,0,55,0.0
4737,2020,6,10,0,54,0.0
4738,2020,6,10,0,44,0.0
4765,2020,1,2,22,70,31.428571428571427
4766,2020,1,2,17,65,26.153846153846153
4767,2020,1,2,8,61,13.114754098360656
4768,2020,1,2,5,45,11.11111111111111
4769,2020,2,2,11,64,17.1875
4770,2020,2,2,3,42,7.142857142857143
4771,2020,2,2,5,44,11.363636363636363
4772,2020,2,2,4,38,10.526315789473685
4773,2020,2,2,1,29,3.4482758620689653
4774,2020,3,2,3,37,8.108108108108109
4775,2020,3,2,1,21,4.761904761904762
4776,2020,3,2,1,9,11.11111111111111
4777,2020,3,2,1,9,11.11111111111111
4778,2020,4,2,0,3,0.0
4779,2020,4,2,0,1,0.0
4780,2020,4,2,0,1,0.0
4781,2020,4,2,0,0,
4782,2020,5,2,0,0,
4783,2020,5,2,0,1,0.0
4784,2020,5,2,0,0,
4785,2020,5,2,0,0,
4786,2020,5,2,0,0,
4787,2020,6,2,0,0,
4788,2020,6,2,0,0,
4789,2020,6,2,0,0,
4790,2020,6,2,0,0,
4817,2020,1,3,44,247,17.813765182186234
4818,2020,1,3,31,165,18.78787878787879
4819,2020,1,3,25,174,14.367816091954023
4820,2020,1,3,18,194,9.278350515463918
4821,2020,2,3,21,189,11.11111111111111
4822,2020,2,3,16,161,9.937888198757763
4823,2020,2,3,10,168,5.9523809523809526
4824,2020,2,3,6,145,4.137931034482759
4825,2020,2,3,9,120,7.5
4826,2020,3,3,9,152,5.921052631578948
4827,2020,3,3,8,166,4.819277108433735
4828,2020,3,3,7,133,5.2631578947368425
4829,2020,3,3,2,42,4.761904761904762
4830,2020,4,3,1,32,3.125
4831,2020,4,3,0,25,0.0
4832,2020,4,3,2,15,13.333333333333334
4833,2020,4,3,0,18,0.0
4834,2020,5,3,0,15,0.0
4835,2020,5,3,0,14,0.0
4836,2020,5,3,0,10,0.0
4837,2020,5,3,0,14,0.0
4838,2020,5,3,0,5,0.0
4839,2020,6,3,0,6,0.0
4840,2020,6,3,0,2,0.0
4841,2020,6,3,0,6,0.0
4842,2020,6,3,0,6,0.0
4869,2020,1,4,169,1001,16.883116883116884
4870,2020,1,4,93,797,11.668757841907151
4871,2020,1,4,87,734,11.852861035422343
4872,2020,1,4,53,708,7.4858757062146895
4873,2020,2,4,77,733,10.504774897680765
4874,2020,2,4,63,872,7.224770642201835
4875,2020,2,4,47,813,5.781057810578106
4876,2020,2,4,35,722,4.847645429362881
4877,2020,2,4,47,662,7.099697885196375
4878,2020,3,4,31,706,4.390934844192635
4879,2020,3,4,40,853,4.6893317702227435
4880,2020,3,4,28,995,2.814070351758794
4881,2020,3,4,12,542,2.2140221402214024
4882,2020,4,4,4,338,1.183431952662722
4883,2020,4,4,3,267,1.1235955056179776
4884,2020,4,4,3,296,1.0135135135135136
4885,2020,4,4,0,181,0.0
4886,2020,5,4,0,180,0.0
4887,2020,5,4,0,184,0.0
4888,2020,5,4,1,58,1.7241379310344827
4889,2020,5,4,0,49,0.0
4890,2020,5,4,0,59,0.0
4891,2020,6,4,0,60,0.0
4892,2020,6,4,0,39,0.0
4893,2020,6,4,1,56,1.7857142857142858
4894,2020,6,4,0,51,0.0
4921,2020,1,5,146,485,30.103092783505154
4922,2020,1,5,71,250,28.4
4923,2020,1,5,61,336,18.154761904761905
4924,2020,1,5,54,315,17.142857142857142
4925,2020,2,5,33,312,10.576923076923077
4926,2020,2,5,29,223,13.004484304932735
4927,2020,2,5,23,260,8.846153846153847
4928,2020,2,5,24,291,8.24742268041237
4929,2020,2,5,12,155,7.741935483870968
4930,2020,3,5,11,172,6.395348837209302
4931,2020,3,5,16,251,6.374501992031872
4932,2020,3,5,10,194,5.154639175257732
4933,2020,3,5,8,111,7.207207207207207
4934,2020,4,5,4,78,5.128205128205129
4935,2020,4,5,0,62,0.0
4936,2020,4,5,2,56,3.5714285714285716
4937,2020,4,5,1,50,2.0
4938,2020,5,5,0,26,0.0
4939,2020,5,5,1,25,4.0
4940,2020,5,5,0,43,0.0
4941,2020,5,5,0,21,0.0
4942,2020,5,5,0,19,0.0
4943,2020,6,5,0,21,0.0
4944,2020,6,5,0,18,0.0
4945,2020,6,5,0,14,0.0
4946,2020,6,5,0,16,0.0
4973,2020,1,6,137,681,20.11747430249633
4974,2020,1,6,61,449,13.585746102449889
4975,2020,1,6,83,458,18.12227074235808
