,Year,Month,HHS region,RSV Detections,RSV Tests,% positive tests
3050,2016,1,8,20,85,23.529411764705884
3051,2016,1,8,19,93,20.43010752688172
3052,2016,1,8,28,100,28.0
3053,2016,1,8,32,118,27.11864406779661
3054,2016,1,8,39,127,30.708661417322833
3055,2016,2,8,45,130,34.61538461538461
3056,2016,2,8,45,131,34.35114503816794
3057,2016,2,8,48,162,29.62962962962963
3058,2016,2,8,54,162,33.333333333333336
3059,2016,3,8,43,174,24.71264367816092
3060,2016,3,8,23,153,15.032679738562091
3061,2016,3,8,21,112,18.75
3062,2016,3,8,15,121,12.396694214876034
3063,2016,4,8,11,87,12.64367816091954
3064,2016,4,8,7,85,8.235294117647058
3065,2016,4,8,1,59,1.694915254237288
3066,2016,4,8,2,47,4.25531914893617
3067,2016,4,8,6,47,12.76595744680851
3068,2016,5,8,0,36,0.0
3069,2016,5,8,2,29,6.896551724137931
3070,2016,5,8,0,39,0.0
3071,2016,5,8,0,27,0.0
3072,2016,6,8,0,21,0.0
3073,2016,6,8,0,23,0.0
3074,2016,6,8,0,20,0.0
3075,2016,6,8,0,18,0.0
3076,2016,7,8,0,8,0.0
3546,2016,7,8,0,9,0.0
3547,2016,7,8,0,8,0.0
3548,2016,7,8,0,12,0.0
3549,2016,7,8,0,11,0.0
3550,2016,8,8,0,23,0.0
3551,2016,8,8,0,14,0.0
3552,2016,8,8,0,9,0.0
3553,2016,8,8,0,8,0.0
3554,2016,9,8,0,11,0.0
3555,2016,9,8,0,17,0.0
3556,2016,9,8,0,20,0.0
3557,2016,9,8,0,16,0.0
3558,2016,10,8,0,17,0.0
3559,2016,10,8,0,28,0.0
3560,2016,10,8,0,23,0.0
3561,2016,10,8,0,23,0.0
3562,2016,10,8,0,16,0.0
3563,2016,11,8,2,32,6.25
3564,2016,11,8,1,35,2.857142857142857
3565,2016,11,8,3,40,7.5
3566,2016,11,8,3,39,7.6923076923076925
3567,2016,12,8,4,36,11.11111111111111
3568,2016,12,8,2,40,5.0
3569,2016,12,8,5,46,10.869565217391305
3570,2016,12,8,9,46,19.565217391304348
3571,2016,12,8,9,54,16.666666666666668
3572,2017,1,8,19,74,25.675675675675677
3573,2017,1,8,24,86,27.906976744186046
3574,2017,1,8,27,97,27.835051546391753
3575,2017,1,8,22,111,19.81981981981982
3576,2017,2,8,25,98,25.510204081632654
3577,2017,2,8,26,128,20.3125
3578,2017,2,8,34,180,18.88888888888889
3579,2017,2,8,23,127,18.11023622047244
3580,2017,3,8,16,86,18.6046511627907
3581,2017,3,8,20,84,23.80952380952381
3582,2017,3,8,9,72,12.5
3583,2017,3,8,8,53,15.09433962264151
3584,2017,4,8,6,51,11.764705882352942
3585,2017,4,8,6,47,12.76595744680851
3586,2017,4,8,5,36,13.88888888888889
3587,2017,4,8,5,28,17.857142857142858
3588,2017,4,8,1,40,2.5
3589,2017,5,8,1,15,6.666666666666667
