,Year,Month,HHS region,RSV Detections,RSV Tests,% positive tests
2626,2016,1,1,65,430,15.116279069767442
2627,2016,1,1,55,453,12.141280353200884
2628,2016,1,1,53,441,12.01814058956916
2629,2016,1,1,98,480,20.416666666666668
2630,2016,1,1,96,520,18.46153846153846
2631,2016,2,1,87,504,17.261904761904763
2632,2016,2,1,70,535,13.08411214953271
2633,2016,2,1,54,516,10.465116279069768
2634,2016,2,1,49,580,8.448275862068966
2635,2016,3,1,50,581,8.605851979345955
2636,2016,3,1,47,682,6.891495601173021
2637,2016,3,1,29,665,4.360902255639098
2638,2016,3,1,31,658,4.711246200607903
2639,2016,4,1,20,610,3.278688524590164
2640,2016,4,1,10,532,1.8796992481203008
2641,2016,4,1,3,490,0.6122448979591837
2642,2016,4,1,11,430,2.558139534883721
2643,2016,4,1,7,347,2.0172910662824206
2644,2016,5,1,8,304,2.6315789473684212
2645,2016,5,1,6,316,1.8987341772151898
2646,2016,5,1,1,312,0.32051282051282054
2647,2016,5,1,2,255,0.7843137254901961
2648,2016,6,1,0,221,0.0
2649,2016,6,1,1,203,0.49261083743842365
2650,2016,6,1,1,225,0.4444444444444444
2651,2016,6,1,0,201,0.0
2652,2016,7,1,0,202,0.0
2679,2016,1,10,15,120,12.5
2680,2016,1,10,27,177,15.254237288135593
2681,2016,1,10,18,134,13.432835820895523
2682,2016,1,10,16,144,11.11111111111111
2683,2016,1,10,22,117,18.803418803418804
2684,2016,2,10,23,132,17.424242424242426
2685,2016,2,10,15,149,10.06711409395973
2686,2016,2,10,34,158,21.518987341772153
2687,2016,2,10,15,137,10.94890510948905
2688,2016,3,10,20,123,16.260162601626018
2689,2016,3,10,28,171,16.374269005847953
2690,2016,3,10,15,153,9.803921568627452
2691,2016,3,10,15,124,12.096774193548388
2692,2016,4,10,12,137,8.75912408759124
2693,2016,4,10,11,132,8.333333333333334
2694,2016,4,10,9,95,9.473684210526315
2695,2016,4,10,2,101,1.9801980198019802
2696,2016,4,10,2,73,2.73972602739726
2697,2016,5,10,0,69,0.0
2698,2016,5,10,1,75,1.3333333333333333
2699,2016,5,10,0,82,0.0
2700,2016,5,10,1,62,1.6129032258064515
2701,2016,6,10,0,64,0.0
2702,2016,6,10,1,65,1.5384615384615385
2703,2016,6,10,1,63,1.5873015873015872
2704,2016,6,10,0,48,0.0
2705,2016,7,10,0,47,0.0
2732,2016,1,2,70,198,35.35353535353536
2733,2016,1,2,70,224,31.25
2734,2016,1,2,71,200,35.5
2735,2016,1,2,50,202,24.752475247524753
2736,2016,1,2,75,203,36.94581280788177
2737,2016,2,2,46,188,24.46808510638298
2738,2016,2,2,44,185,23.783783783783782
2739,2016,2,2,31,171,18.128654970760234
2740,2016,2,2,34,166,20.481927710843372
2741,2016,3,2,17,219,7.762557077625571
2742,2016,3,2,18,198,9.090909090909092
2743,2016,3,2,7,184,3.8043478260869565
2744,2016,3,2,3,147,2.0408163265306123
2745,2016,4,2,4,109,3.669724770642202
2746,2016,4,2,2,85,2.3529411764705883
2747,2016,4,2,0,92,0.0
2748,2016,4,2,1,70,1.4285714285714286
2749,2016,4,2,2,58,3.4482758620689653
2750,2016,5,2,0,55,0.0
2751,2016,5,2,1,37,2.7027027027027026
2752,2016,5,2,0,61,0.0
2753,2016,5,2,1,57,1.7543859649122806
2754,2016,6,2,1,40,2.5
2755,2016,6,2,2,55,3.6363636363636362
2756,2016,6,2,0,33,0.0
2757,2016,6,2,0,20,0.0
2758,2016,7,2,0,21,0.0
2785,2016,1,3,131,488,26.84426229508197
2786,2016,1,3,106,479,22.129436325678498
2787,2016,1,3,90,401,22.443890274314214
2788,2016,1,3,78,361,21.606648199445985
2789,2016,1,3,61,325,18.76923076923077
2790,2016,2,3,29,251,11.55378486055777
2791,2016,2,3,32,266,12.030075187969924
2792,2016,2,3,30,300,10.0
2793,2016,2,3,30,332,9.036144578313253
2794,2016,3,3,35,343,10.204081632653061
2795,2016,3,3,32,357,8.96358543417367
2796,2016,3,3,38,387,9.819121447028424
2797,2016,3,3,20,325,6.153846153846154
2798,2016,4,3,22,250,8.8
2799,2016,4,3,7,231,3.0303030303030303
2800,2016,4,3,5,190,2.6315789473684212
2801,2016,4,3,5,207,2.4154589371980677
2802,2016,4,3,4,176,2.272727272727273
2803,2016,5,3,3,144,2.0833333333333335
2804,2016,5,3,2,126,1.5873015873015872
2805,2016,5,3,4,111,3.6036036036036037
2806,2016,5,3,1,69,1.4492753623188406
2807,2016,6,3,4,54,7.407407407407407
2808,2016,6,3,2,51,3.9215686274509802
2809,2016,6,3,1,62,1.6129032258064515
2810,2016,6,3,3,45,6.666666666666667
2811,2016,7,3,2,33,6.0606060606060606
2838,2016,1,4,272,1313,20.715917745620715
2839,2016,1,4,244,1090,22.38532110091743
2840,2016,1,4,158,1110,14.234234234234235
2841,2016,1,4,175,1091,16.040329972502292
2842,2016,1,4,130,1092,11.904761904761905
2843,2016,2,4,143,1121,12.756467439785906
2844,2016,2,4,127,1209,10.504549214226634
2845,2016,2,4,112,911,12.294182217343579
2846,2016,2,4,105,1298,8.089368258859784
2847,2016,3,4,96,1293,7.424593967517401
2848,2016,3,4,80,1298,6.163328197226503
2849,2016,3,4,71,1178,6.027164685908319
2850,2016,3,4,55,1089,5.05050505050505
2851,2016,4,4,40,979,4.085801838610827
2852,2016,4,4,51,1003,5.084745762711864
2853,2016,4,4,52,974,5.338809034907597
2854,2016,4,4,15,898,1.670378619153675
2855,2016,4,4,33,874,3.7757437070938216
2856,2016,5,4,22,773,2.846054333764554
2857,2016,5,4,14,785,1.78343949044586
2858,2016,5,4,24,771,3.11284046692607
2859,2016,5,4,17,689,2.467343976777939
2860,2016,6,4,16,645,2.4806201550387597
2861,2016,6,4,17,602,2.823920265780731
2862,2016,6,4,16,438,3.65296803652968
2863,2016,6,4,14,444,3.1531531531531534
2864,2016,7,4,21,373,5.630026809651475
2891,2016,1,5,128,441,29.024943310657598
2892,2016,1,5,94,440,21.363636363636363
2893,2016,1,5,103,418,24.641148325358852
2894,2016,1,5,136,479,28.39248434237996
2895,2016,1,5,151,561,26.916221033868094
2896,2016,2,5,207,640,32.34375
2897,2016,2,5,182,683,26.64714494875549
2898,2016,2,5,205,752,27.26063829787234
2899,2016,2,5,182,682,26.686217008797655
2900,2016,3,5,170,749,22.696929238985312
2901,2016,3,5,124,707,17.53889674681754
2902,2016,3,5,111,640,17.34375
2903,2016,3,5,77,544,14.154411764705882
2904,2016,4,5,62,426,14.553990610328638
2905,2016,4,5,30,285,10.526315789473685
2906,2016,4,5,27,298,9.060402684563758
2907,2016,4,5,32,259,12.355212355212355
2908,2016,4,5,13,235,5.531914893617022
2909,2016,5,5,14,204,6.862745098039215
2910,2016,5,5,9,210,4.285714285714286
2911,2016,5,5,11,154,7.142857142857143
2912,2016,5,5,5,129,3.875968992248062
2913,2016,6,5,6,125,4.8
2914,2016,6,5,4,96,4.166666666666667
2915,2016,6,5,3,76,3.9473684210526314
2916,2016,6,5,2,78,2.5641025641025643
2917,2016,7,5,0,51,0.0
2944,2016,1,6,296,791,37.420986093552465
2945,2016,1,6,233,629,37.04292527821939
2946,2016,1,6,234,618,37.86407766990291
2947,2016,1,6,245,681,35.97650513950074
2948,2016,1,6,245,732,33.46994535519126
2949,2016,2,6,210,701,29.957203994293867
2950,2016,2,6,173,598,28.929765886287626
2951,2016,2,6,177,625,28.32
2952,2016,2,6,101,593,17.032040472175378
2953,2016,3,6,93,538,17.286245353159853
2954,2016,3,6,68,495,13.737373737373737
2955,2016,3,6,41,425,9.647058823529411
2956,2016,3,6,30,394,7.614213197969543
2957,2016,4,6,25,334,7.485029940119761
2958,2016,4,6,26,350,7.428571428571429
2959,2016,4,6,11,270,4.074074074074074
2960,2016,4,6,12,264,4.545454545454546
2961,2016,4,6,9,261,3.4482758620689653
2962,2016,5,6,5,231,2.1645021645021645
2963,2016,5,6,5,191,2.6178010471204187
2964,2016,5,6,8,163,4.9079754601226995
2965,2016,5,6,5,173,2.8901734104046244
2966,2016,6,6,7,181,3.867403314917127
2967,2016,6,6,0,116,0.0
2968,2016,6,6,2,126,1.5873015873015872
2969,2016,6,6,3,100,3.0
2970,2016,7,6,2,59,3.389830508474576
2997,2016,1,7,17,68,25.0
2998,2016,1,7,25,81,30.864197530864196
2999,2016,1,7,9,93,9.67741935483871
3000,2016,1,7,18,100,18.0
3001,2016,1,7,19,93,20.43010752688172
3002,2016,2,7,25,92,27.17391304347826
3003,2016,2,7,38,121,31.40495867768595
3004,2016,2,7,50,152,32.89473684210526
3005,2016,2,7,55,156,35.256410256410255
3006,2016,3,7,41,178,23.03370786516854
3007,2016,3,7,52,194,26.804123711340207
3008,2016,3,7,38,244,15.573770491803279
3009,2016,3,7,35,158,22.151898734177216
3010,2016,4,7,20,120,16.666666666666668
3011,2016,4,7,16,92,17.391304347826086
3012,2016,4,7,8,74,10.81081081081081
3013,2016,4,7,16,95,16.842105263157894
3014,2016,4,7,7,62,11.290322580645162
3015,2016,5,7,4,54,7.407407407407407
3016,2016,5,7,3,44,6.818181818181818
3017,2016,5,7,0,40,0.0
3018,2016,5,7,2,40,5.0
3019,2016,6,7,1,32,3.125
3020,2016,6,7,0,16,0.0
3021,2016,6,7,0,26,0.0
3022,2016,6,7,0,19,0.0
3023,2016,7,7,0,18,0.0
3050,2016,1,8,20,85,23.529411764705884
3051,2016,1,8,19,93,20.43010752688172
3052,2016,1,8,28,100,28.0
3053,2016,1,8,32,118,27.11864406779661
3054,2016,1,8,39,127,30.708661417322833
3055,2016,2,8,45,130,34.61538461538461
3056,2016,2,8,45,131,34.35114503816794
3057,2016,2,8,48,162,29.62962962962963
3058,2016,2,8,54,162,33.333333333333336
3059,2016,3,8,43,174,24.71264367816092
3060,2016,3,8,23,153,15.032679738562091
3061,2016,3,8,21,112,18.75
3062,2016,3,8,15,121,12.396694214876034
3063,2016,4,8,11,87,12.64367816091954
