,state,season,mmwr_week,age_category,sex,race,rate,HHS_region
0,California,2017,Overall,----18-29 years,Female,"A/PI, non-Hispanic",1.1,9
1,California,2017,Overall,----18-29 years,Female,"AI/AN, non-Hispanic",0,9
2,California,2017,Overall,----18-29 years,Female,"Black, non-Hispanic",6.4,9
3,California,2017,Overall,----18-29 years,Female,Hispanic,0,9
4,California,2017,Overall,----18-29 years,Female,"White, non-Hispanic",0,9
5,California,2017,Overall,----18-29 years,Male,"A/PI, non-Hispanic",0,9
6,California,2017,Overall,----18-29 years,Male,"AI/AN, non-Hispanic",0,9
7,California,2017,Overall,----18-29 years,Male,"Black, non-Hispanic",3.2,9
8,California,2017,Overall,----18-29 years,Male,Hispanic,3.8,9
9,California,2017,Overall,----18-29 years,Male,"White, non-Hispanic",0,9
10,California,2017,Overall,----30-39 years,Female,"A/PI, non-Hispanic",0,9
11,California,2017,Overall,----30-39 years,Female,"AI/AN, non-Hispanic",0,9
12,California,2017,Overall,----30-39 years,Female,"Black, non-Hispanic",0,9
13,California,2017,Overall,----30-39 years,Female,Hispanic,1.6,9
14,California,2017,Overall,----30-39 years,Female,"White, non-Hispanic",0.9,9
15,California,2017,Overall,----30-39 years,Male,"A/PI, non-Hispanic",0,9
16,California,2017,Overall,----30-39 years,Male,"AI/AN, non-Hispanic",0,9
17,California,2017,Overall,----30-39 years,Male,"Black, non-Hispanic",0,9
18,California,2017,Overall,----30-39 years,Male,Hispanic,1.4,9
19,California,2017,Overall,----30-39 years,Male,"White, non-Hispanic",1.6,9
20,California,2017,Overall,----40-49 years,Female,"A/PI, non-Hispanic",0,9
21,California,2017,Overall,----40-49 years,Female,"AI/AN, non-Hispanic",0,9
22,California,2017,Overall,----40-49 years,Female,"Black, non-Hispanic",4.3,9
23,California,2017,Overall,----40-49 years,Female,Hispanic,0,9
24,California,2017,Overall,----40-49 years,Female,"White, non-Hispanic",1.1,9
25,California,2017,Overall,----40-49 years,Male,"A/PI, non-Hispanic",2.6,9
26,California,2017,Overall,----40-49 years,Male,"AI/AN, non-Hispanic",0,9
27,California,2017,Overall,----40-49 years,Male,"Black, non-Hispanic",0,9
28,California,2017,Overall,----40-49 years,Male,Hispanic,1.7,9
29,California,2017,Overall,----40-49 years,Male,"White, non-Hispanic",2,9
30,California,2017,Overall,----65-74 years,Female,"A/PI, non-Hispanic",18.2,9
31,California,2017,Overall,----65-74 years,Female,"AI/AN, non-Hispanic",0,9
32,California,2017,Overall,----65-74 years,Female,"Black, non-Hispanic",43.2,9
33,California,2017,Overall,----65-74 years,Female,Hispanic,11,9
34,California,2017,Overall,----65-74 years,Female,"White, non-Hispanic",19.5,9
35,California,2017,Overall,----65-74 years,Male,"A/PI, non-Hispanic",22.6,9
36,California,2017,Overall,----65-74 years,Male,"AI/AN, non-Hispanic",0,9
37,California,2017,Overall,----65-74 years,Male,"Black, non-Hispanic",15.6,9
38,California,2017,Overall,----65-74 years,Male,Hispanic,13.5,9
39,California,2017,Overall,----65-74 years,Male,"White, non-Hispanic",46,9
40,California,2017,Overall,----75-84 years,Female,"A/PI, non-Hispanic",49.2,9
41,California,2017,Overall,----75-84 years,Female,"AI/AN, non-Hispanic",0,9
42,California,2017,Overall,----75-84 years,Female,"Black, non-Hispanic",141.1,9
43,California,2017,Overall,----75-84 years,Female,Hispanic,31.2,9
44,California,2017,Overall,----75-84 years,Female,"White, non-Hispanic",64.1,9
